HTTP/1.1 200 OK
Date: Fri, 25 Nov 2011 17:47:15 GMT
Server: Apache/2.2.3 (Red Hat) PHP/4.4.9
X-Powered-By: PHP/4.4.9
Cache-Control: must-revalidate
Content-Disposition: attachment; filename=awMerchantMetadata.csv
P3P: policyref="http://www.affiliatewindow.com/w3c/p3p.xml", CP="CAO CURa ADMa DEVa TAIa CONi TELi OUR IND PHY ONL UNI COM NAV"
Vary: Accept-Encoding
Transfer-Encoding: chunked
Content-Type: application/csv

Merchant ID,Merchant Name,Logo,Active,Merchant Metadata Version,Strapline,Description,Default Clickthrough,Merchant Category,Product Feed Enabled,Datafeed Version,Product Feed Last Refreshed,Product Feed Last Modified,Product Feed No. Products,Display URL
"269","OutdoorGear UK","https://www.affiliatewindow.com/logos/269/logo.gif","yes","2","Let us help you get outdoors","OutdoorGear UK seeks to maintain and enhance its reputation as a competitive and honest retailer of camping equipment and outdoor leisure clothing. To achieve this we offer real value, and a comprehensive choice of excellent quality products.","http://www.awin1.com/awclick.php?mid=269&id=34475","Sports","yes","1113","2011-11-24 19:56:06","2011-11-24 20:02:11","2524","http://www.outdoorgear.co.uk"
"1199","My Favourite Magazines","https://www.affiliatewindow.com/logos/1199/logo.gif","yes","14","Think WHSmith","With over 550 stores on the high street and 490 stores at airports, train stations, hospitals and motorway services, WHSmith is one of the UK&#39;s leading retail groups and a household name.","http://www.awin1.com/awclick.php?mid=1199&id=34475","Books & Subscriptions","yes","680","2011-11-25 00:16:06","2011-11-25 00:22:11","332","http://www.myfavouritemagazines.co.uk"
"1302","Evans Cycles","https://www.affiliatewindow.com/logos/1302/logo.gif","yes","3","The UK&#39;s largest specialist cycle retailer","Evans Cycles are the UK&#39;s largest specialist cycle retailer.  Our website stocks the most comprehensive range of bikes, cycling equipment and cycle clothing in the market.    The range covers mountain biking, BMX, road cycling, commuting, folding bikes and kids bikes.    Brands include Specialized, Trek, Kona, Cannondale, GT, Saracen, Raleigh and more.    As well as stocking the latest gear we are also renowned for our massive stock of sale bikes and &#39;last chance&#39; clothing and accessory items, many up to half price!     Free delivery options for all UK orders.","http://www.awin1.com/awclick.php?mid=1302&id=34475","Sports","yes","1037","2011-11-25 07:38:06","2011-11-25 07:46:15","9450","http://www.evanscycles.com"
"234","SunglassesUK.com","https://www.affiliatewindow.com/logos/234/logo.gif","yes","4","SunglassesUK.com - Where the Celebs buy their Sunglasses!","Sunglasses UK has a terrific range of designer frames at highly competitive prices. Stocks are updated constantly with new styles and delivery is free and quick within the UK. Designs include Gucci, Oakley, Tom Ford, Bolle, Police, Dolce &amp; Gabbana, D&amp;G, Prada , Silhouette and Ray-Ban just to name a few.","http://www.awin1.com/awclick.php?mid=234&id=34475","Clothing & Accessories","yes","1125","2011-11-25 09:15:06","2011-11-25 09:57:13","752","http://www.sunglassesuk.com"
"1857","Wiggle Online Cycle Shop","https://www.affiliatewindow.com/logos/1857/logo.gif","yes","4","The UK&#39;s Number 1 online bike shop!","Officially the UK&#39;s number one online bike and cycle shop.   With nearly 10 years online bike parts and accessories trading and a deep history and passion for cycling, we give our customers an experience of being the one stop shop for all their cycling needs.   Our expertise lies in offering incredible deals on a superb range of top quality mountain bikes, road bikes, bike parts and cycle accessories to buy, available with free delivery or our same day priority dispatch. We offer a comprehensive range of run, swim, triathlon and hiking gear as well as having a specialised female section on the site.","http://www.awin1.com/awclick.php?mid=1857&id=34475","Clothing & Accessories","yes","908","2011-11-25 00:32:06","2011-11-25 00:40:15","12678","http://www.wiggle.co.uk"
"1520","Blacks","https://www.affiliatewindow.com/logos/1520/logo.gif","yes","2","Blacks - The Outdoor Experts","Blacks is one of the high street&#39;s best-known names, offering quality products and friendly, knowledgeable advice on a selection of outdoor kit in over 104 stores nationwide and online at www.Blacks.co.uk","http://www.awin1.com/awclick.php?mid=1520&id=34475","Clothing & Accessories","yes","899","2011-11-25 09:06:06","2011-11-25 10:21:11","1688","http://www.blacks.co.uk"
"1521","Millets","https://www.affiliatewindow.com/logos/1521/logo.gif","yes","2","Millets - The Outdoor Store","Millets is one of the high street&#39;s best-known names, offering quality products and friendly, knowledgeable advice on a selection of outdoor kit in over 260 stores nationwide and online at www.millets.co.uk","http://www.awin1.com/awclick.php?mid=1521&id=34475","Clothing & Accessories","yes","881","2011-11-25 09:03:06","2011-11-25 10:20:14","1100","http://www.millets.co.uk"
"1294","Simply Swim","https://www.affiliatewindow.com/logos/1294/logo.gif","yes","2","Swimwear for all the family.","Simply Swim offers swimwear for the whole family, from occasional to competition swimmers.  Featuring top brands such as Speedo, Zoggs, Aquasphere and Australian brand Rival which we specially import. We provide a comprehensive learn to swim section full of the latest approved aids to help younger members of the family to learn to swim safely.","http://www.awin1.com/awclick.php?mid=1294&id=34475","Sports","yes","958","2011-11-25 10:46:06","2011-11-25 10:52:11","1860","http://www.simplyswim.com"
"1192","Simply Scuba Ltd","https://www.affiliatewindow.com/logos/1192/logo.gif","yes","3","The one stop shop for scuba and snorkelling equipment!","Simply Scuba For scuba diving equipment Simply Scuba is your one stop online dive shop. Professional dive staff are always available to offer advice on scuba gear selection.  Simply Snorknel Simply Snorkel offers snorkellers clear information and advice to help with purchasing snorkelling equipment whether for occasional holiday use or for the dedicated snorkeller.","http://www.awin1.com/awclick.php?mid=1192&id=34475","Sports","yes","1038","2011-11-24 19:55:06","2011-11-24 20:01:11","2076","http://www.simplyscuba.com"
"1295","Simply Beach","https://www.affiliatewindow.com/logos/1295/logo.gif","yes","2","For the best beachwear online","Simply Beach offers designer swimwear including bikinis, tankinis, swimsuits and beach cover-ups. From top brands like Moontide, Seafolly, Speedo Beach; international imports such as Wahine, Sunseeker, Island Company and Banana Moon; to top fashion designers such as Gideon Oberson and Melissa Odabash who feature in top fashion magazines like Vogue.  Plus beachwear for the whole family including sun protection for babies and toddlers from Sposh, Speedo and Zoggs and a great range of footwear from Reef, Aquashoe and Speedo.","http://www.awin1.com/awclick.php?mid=1295&id=34475","Clothing & Accessories","yes","1094","2011-11-25 04:30:09","2011-11-25 04:36:15","1387","http://www.simplybeach.com"
